,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,date,year
2376,2.2199229e-05,0.00045485416,0.20958021,5.5406726e-05,0.25105175,0.18928404,0.34916747,0.00033510668,2.63105e-05,2.263581e-05,2013-11-08,2013
2377,1.2021637e-05,0.00024639958,0.67865795,3.0004627e-05,0.16590425,0.06276979,0.09029419,0.0020588022,1.4248029e-05,1.225806e-05,2013-11-18,2013
2378,7.3244073e-06,0.00015017646,0.009714367,1.828088e-05,0.0007136628,0.024714304,0.96455514,0.00011056491,8.680879e-06,7.4684526e-06,2013-11-18,2013
2379,7.4672e-06,0.0030532372,0.8449741,1.8637274e-05,0.019853877,0.00038540733,0.13157807,0.00011272119,8.8501165e-06,7.6140536e-06,2013-11-21,2013
2380,3.9416054e-06,0.0051382915,0.71344626,0.0018940136,0.0128030935,0.00019173163,0.26645443,5.9529706e-05,4.671586e-06,4.019123e-06,2013-11-21,2013
2381,5.189147e-06,0.00010645292,0.8062463,1.2951515e-05,0.009581705,0.009197413,0.17476027,7.834145e-05,6.1501705e-06,5.291199e-06,2013-11-25,2013
2382,5.168205e-06,0.00010595449,0.31739485,1.2899246e-05,0.0025805074,0.00024450512,0.67956674,7.8019286e-05,6.12535e-06,5.2698456e-06,2013-12-18,2013
2383,2.0077077e-05,0.010063346,0.42146894,5.011008e-05,0.2814793,0.16641653,0.12015435,0.00030307772,2.3795328e-05,2.0471924e-05,2014-01-07,2014
2384,1.0775282e-05,0.04372297,0.015706064,2.6893867e-05,0.41436058,0.354331,0.15816794,0.013650036,1.2770851e-05,1.0987194e-05,2014-01-28,2014
2385,2.5369445e-06,5.204085e-05,0.5354855,6.331922e-06,0.0017791935,0.023390437,0.4392401,3.8302467e-05,3.0067836e-06,2.5868374e-06,2014-01-29,2014
2386,7.50069e-06,0.14333652,0.049119428,0.0012051701,0.5040626,0.09518359,0.14499317,0.062075473,8.889809e-06,7.648202e-06,2014-01-29,2014
2387,9.808553e-06,0.00020110105,0.86663306,2.4481022e-05,0.06376198,0.00047262156,0.06872732,0.00014806773,1.1625085e-05,1.0001453e-05,2014-01-29,2014
2388,9.075762e-06,0.00018610705,0.4904785,2.2652059e-05,0.07744294,0.00047842143,0.4295864,0.0017759164,1.0756582e-05,9.2542505e-06,2014-02-03,2014
